method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
ace,45,0.4130,0.4130,3.428148,97.00
ace,46,0.4043,0.4043,3.542724,100.00
ace,47,0.3958,0.3958,3.631312,101.00
external_optimizer,0,0.0000,0.0000,0.626372,0.00
external_optimizer,1,0.0000,0.0000,0.645860,0.00
external_optimizer,2,0.0000,0.0000,0.724534,0.00
external_optimizer,3,0.2500,0.2500,0.746220,0.00
external_optimizer,4,0.4000,0.4000,0.772864,0.00
external_optimizer,5,0.5000,0.5000,0.808705,0.00
external_optimizer,6,0.5714,0.5714,0.829085,0.00
external_optimizer,7,0.5000,0.5000,0.850920,0.00
external_optimizer,8,0.5556,0.5556,0.907093,0.00
external_optimizer,9,0.5000,0.5000,0.958322,0.00
external_optimizer,10,0.5455,0.5455,0.982143,0.00
external_optimizer,11,0.5000,0.5000,1.023580,0.00
external_optimizer,12,0.5385,0.5385,1.051343,0.00
external_optimizer,13,0.5714,0.5714,1.072685,0.00
external_optimizer,14,0.5333,0.5333,1.091998,0.00
external_optimizer,15,0.5000,0.5000,1.140944,0.00
external_optimizer,16,0.4706,0.4706,1.182586,0.00
external_optimizer,17,0.4444,0.4444,1.211728,0.00
external_optimizer,18,0.4211,0.4211,1.239049,0.00
external_optimizer,19,0.4500,0.4500,1.287043,0.00
external_optimizer,20,0.4286,0.4286,1.333492,0.00
external_optimizer,21,0.4091,0.4091,1.353758,0.00
external_optimizer,22,0.3913,0.3913,1.399948,0.00
external_optimizer,23,0.3750,0.3750,1.427873,0.00
external_optimizer,24,0.3600,0.3600,1.453444,0.00
external_optimizer,25,0.3462,0.3462,1.479741,0.00
external_optimizer,26,0.3333,0.3333,1.526936,0.00
external_optimizer,27,0.3571,0.3571,1.550640,0.00
external_optimizer,28,0.3793,0.3793,1.568144,0.00
external_optimizer,29,0.3667,0.3667,1.637648,0.00
external_optimizer,30,0.3871,0.3871,1.661019,0.00
external_optimizer,31,0.3750,0.3750,1.707166,0.00
external_optimizer,32,0.3939,0.3939,1.730358,0.00
external_optimizer,33,0.4118,0.4118,1.756475,0.00
external_optimizer,34,0.4286,0.4286,1.775260,0.00
external_optimizer,35,0.4167,0.4167,1.812382,0.00
external_optimizer,36,0.4054,0.4054,1.852957,0.00
external_optimizer,37,0.3947,0.3947,1.870307,0.00
external_optimizer,38,0.4103,0.4103,1.903418,0.00
external_optimizer,39,0.4000,0.4000,1.920549,0.00
external_optimizer,40,0.4146,0.4146,1.963586,0.00
external_optimizer,41,0.4048,0.4048,1.984206,0.00
external_optimizer,42,0.3953,0.3953,2.023934,0.00
external_optimizer,43,0.4091,0.4091,2.047362,0.00
external_optimizer,44,0.4000,0.4000,2.088598,0.00
external_optimizer,45,0.3913,0.3913,2.124868,0.00
external_optimizer,46,0.4043,0.4043,2.160724,0.00
external_optimizer,47,0.4167,0.4167,2.200031,0.00
ours_full,0,0.0000,0.0000,0.079960,1.00
ours_full,1,0.0000,0.0000,0.126451,4.00
ours_full,2,0.0000,0.0000,0.221729,5.00
ours_full,3,0.2500,0.2500,0.271369,7.00
ours_full,4,0.4000,0.4000,0.333521,10.00
ours_full,5,0.5000,0.5000,0.413556,12.00
ours_full,6,0.5714,0.5714,0.454897,14.00
ours_full,7,0.5000,0.5000,0.503965,15.00
ours_full,8,0.5556,0.5556,0.591596,18.00
ours_full,9,0.5000,0.5000,0.669757,20.00
ours_full,10,0.5455,0.5455,0.714354,22.00
ours_full,11,0.5000,0.5000,0.759409,25.00
ours_full,12,0.5385,0.5385,0.812321,28.00
ours_full,13,0.5714,0.5714,0.866606,31.00
ours_full,14,0.6000,0.6000,0.913810,34.00
ours_full,15,0.6250,0.6250,1.721202,38.00
ours_full,16,0.6471,0.6471,1.779359,40.00
ours_full,17,0.6111,0.6111,1.833154,43.00
ours_full,18,0.5789,0.5789,1.888888,45.00
ours_full,19,0.5500,0.5500,1.958948,46.00
ours_full,20,0.5238,0.5238,2.022490,50.00
ours_full,21,0.5000,0.5000,2.107101,51.00
ours_full,22,0.4783,0.4783,2.188021,55.00
ours_full,23,0.4583,0.4583,2.276350,58.00
ours_full,24,0.4400,0.4400,2.321780,60.00
ours_full,25,0.4231,0.4231,2.394370,63.00
